,major_group_id,major_group_name
283,76,comm
284,111,natural
285,3,Others
286,39,supply
287,21,education
288,73,childhood
289,3,Others
290,21,education
291,8,business
292,43,physic
293,122,sport
294,53,nursing
295,52,mechanical
296,129,educational
297,78,study
298,3,Others
299,3,Others
300,64,law
301,27,theatre
302,37,counseling
303,102,policy
304,102,policy
305,127,integrated
306,59,undeclared
307,118,family
308,19,film
309,21,education
310,10,chemistry
311,33,information technology
312,78,study
313,97,sustainability
314,29,management
315,136,biological
316,101,general
317,106,Others
318,134,technology
319,21,education
320,12,music
321,117,health
322,120,medium
323,75,administration
324,29,management
325,92,society
326,102,policy
327,103,communication
328,21,education
329,3,Others
330,23,Others
331,3,Others
332,87,computer
333,44,resource
334,3,Others
335,68,sociology
336,71,Others
337,47,medicine
338,59,undeclared
339,3,Others
340,3,Others
341,41,public
342,41,public
343,40,pre
344,3,Others
345,50,engineering
346,131,educ
347,138,care
348,3,Others
349,3,Others
350,88,student
351,44,resource
352,109,entrepreneurship
353,84,physical
354,117,health
355,147,admin
356,8,business
357,84,physical
358,145,business finance
359,50,engineering
360,3,Others
361,3,Others
362,50,engineering
363,135,english
364,3,Others
365,3,Others
366,3,Others
367,50,engineering
368,107,adm
369,3,Others
370,128,performance
371,78,study
372,0,Others
373,3,Others
374,117,health
375,3,Others
376,3,Others
377,3,Others
378,77,science
379,53,nursing
380,40,pre
381,121,info
382,77,science
383,80,television
384,3,Others
385,116,wildlife
386,3,Others
387,92,society
388,3,Others
389,148,marketing
390,103,communication
391,59,undeclared
392,117,health
393,109,entrepreneurship
394,77,science
395,67,writing
396,103,communication
397,117,health
398,121,info
399,61,information
400,3,Others
401,29,management
402,3,Others
403,3,Others
404,3,Others
405,147,admin
406,68,sociology
407,72,Others
408,40,pre
409,3,Others
410,40,pre
411,70,finance
412,120,medium
413,3,Others
414,77,science
415,61,information
416,79,Others
417,29,management
418,100,development
419,64,law
420,77,science
421,147,admin
422,20,ed
423,134,technology
424,110,mba
425,78,study
426,118,family
427,53,nursing
428,0,Others
429,50,engineering
430,44,resource
431,40,pre
432,3,Others
433,82,software
434,123,teaching
435,53,nursing
436,29,management
437,110,mba
438,28,psychology
439,119,art
440,3,Others
441,20,ed
442,3,Others
443,134,technology
444,3,Others
445,134,technology
446,3,Others
447,21,education
448,50,engineering
449,50,engineering
450,32,child
451,3,Others
452,117,health
453,3,Others
454,129,educational
455,101,general
456,120,medium
457,99,chemical
458,28,psychology
459,87,computer
460,3,Others
461,74,statistic
462,102,policy
463,127,integrated
464,3,Others
465,132,professional
466,101,general
467,78,study
468,93,Others
469,119,art
470,53,nursing
471,111,natural
472,89,intended
473,131,educ
474,121,info
475,1,social
476,59,undeclared
477,82,software
478,143,architecture
479,77,science
480,65,social work
481,44,resource
482,23,Others
483,31,cultural
484,140,analytics
485,70,finance
486,62,spanish
487,87,computer
488,18,manufacturing
489,77,science
490,130,accounting
491,3,Others
492,46,international
493,78,study
494,3,Others
495,96,design
496,85,history
497,35,journalism
498,3,Others
499,50,engineering
500,129,educational
501,69,civil
502,8,business
503,93,Others
504,114,agricultural
505,12,music
506,40,pre
507,28,psychology
508,0,Others
509,3,Others
510,3,Others
511,72,Others
512,3,Others
513,122,sport
514,86,Others
515,37,counseling
516,32,child
517,3,Others
518,57,exercise
519,28,psychology
520,141,bus
521,73,childhood
522,2,environmental
523,3,Others
524,40,pre
525,58,analysis
526,89,intended
527,24,Others
528,148,marketing
529,123,teaching
530,3,Others
531,73,childhood
532,134,technology
533,44,resource
534,126,human
535,24,Others
536,4,and
537,138,care
538,3,Others
539,47,medicine
540,3,Others
541,72,Others
542,30,disorder
543,119,art
544,8,business
545,73,childhood
546,97,sustainability
547,124,min
548,44,resource
549,133,special
550,64,law
551,23,Others
552,53,nursing
553,3,Others
554,50,engineering
555,21,education
556,77,science
557,18,manufacturing
558,3,Others
559,3,Others
560,123,teaching
561,35,journalism
562,122,sport
563,81,mass
564,123,teaching
565,110,mba
566,121,info
567,3,Others
568,19,film
569,3,Others
570,132,professional
571,78,study
572,41,public
573,3,Others
574,3,Others
575,72,Others
576,129,educational
577,38,leadership
578,42,accountancy
579,78,study
580,3,Others
581,78,study
582,3,Others
583,23,Others
584,79,Others
585,119,art
586,64,law
587,0,Others
588,50,engineering
589,121,info
590,89,intended
591,147,admin
592,28,psychology
593,3,Others
594,87,computer
595,40,pre
596,49,construction
597,45,anthropology
598,81,mass
599,29,management
600,3,Others
601,103,communication
602,130,accounting
603,3,Others
604,148,marketing
605,3,Others
606,119,art
607,3,Others
608,20,ed
609,7,engr
610,3,Others
611,37,counseling
612,20,ed
613,3,Others
614,72,Others
615,3,Others
616,134,technology
617,130,accounting
618,3,Others
619,103,communication
620,94,relation
621,117,health
622,53,nursing
623,77,science
624,89,intended
625,77,science
626,12,music
627,127,integrated
628,29,management
629,126,human
630,109,entrepreneurship
631,37,counseling
632,102,policy
633,38,leadership
634,111,natural
635,3,Others
636,137,research
637,105,music performance
638,3,Others
639,49,construction
640,16,Others
641,7,engr
642,69,civil
643,3,Others
644,53,nursing
645,3,Others
646,9,biology
647,3,Others
648,107,adm
649,3,Others
650,3,Others
651,134,technology
652,23,Others
653,78,study
654,3,Others
655,0,Others
656,61,information
657,53,nursing
658,127,integrated
659,3,Others
660,20,ed
661,20,ed
662,3,Others
663,8,business
664,40,pre
665,3,Others
666,106,Others
667,3,Others
668,97,sustainability
669,126,human
670,32,child
671,3,Others
672,21,education
673,135,english
674,55,medical
675,135,english
676,34,art history
677,101,general
678,3,Others
679,3,Others
680,38,leadership
681,148,marketing
682,16,Others
683,53,nursing
684,127,integrated
685,129,educational
686,81,mass
687,106,Others
688,106,Others
689,2,environmental
690,118,family
691,18,manufacturing
692,3,Others
693,12,music
694,119,art
695,0,Others
696,56,master
697,47,medicine
698,20,ed
699,5,middle
700,136,biological
701,85,history
702,97,sustainability
703,20,ed
704,14,economics
705,3,Others
706,81,mass
707,35,journalism
708,9,biology
709,3,Others
710,74,statistic
711,131,educ
712,3,Others
713,55,medical
714,146,biol
715,105,music performance
716,37,counseling
717,131,educ
718,78,study
719,43,physic
720,102,policy
721,23,Others
722,72,Others
723,121,info
724,117,health
725,147,admin
726,52,mechanical
727,133,special
728,3,Others
729,89,intended
730,0,Others
731,131,educ
732,59,undeclared
733,29,management
734,0,Others
735,96,design
736,23,Others
737,59,undeclared
738,96,design
739,29,management
740,91,geography
741,57,exercise
742,103,communication
743,53,nursing
744,17,major
745,107,adm
746,20,ed
747,138,care
748,94,relation
749,61,information
750,13,computational
751,122,sport
752,3,Others
753,54,electrical
754,61,information
755,132,professional
756,81,mass
757,135,english
758,134,technology
759,0,Others
760,117,health
761,147,admin
762,56,master
763,37,counseling
764,30,disorder
765,133,special
766,142,cert
767,12,music
768,0,Others
769,120,medium
770,50,engineering
771,44,resource
772,105,music performance
773,116,wildlife
774,146,biol
775,78,study
776,119,art
777,130,accounting
778,3,Others
779,53,nursing
780,96,design
781,30,disorder
782,57,exercise
783,88,student
784,3,Others
785,96,design
786,3,Others
787,144,english writing
788,72,Others
789,3,Others
790,82,software
791,113,industrial
792,78,study
793,70,finance
794,0,Others
795,119,art
796,12,music
797,53,nursing
798,49,construction
799,144,english writing
800,3,Others
801,131,educ
802,38,leadership
803,35,journalism
804,33,information technology
805,94,relation
806,41,public
807,99,chemical
808,77,science
809,125,molecular
810,23,Others
811,55,medical
812,72,Others
813,49,construction
814,120,medium
815,14,economics
816,23,Others
817,136,biological
818,131,educ
819,55,medical
820,61,information
821,87,computer
822,33,information technology
823,68,sociology
824,139,biomedical
825,3,Others
826,75,administration
827,9,biology
828,72,Others
829,85,history
830,38,leadership
831,115,mathematics
832,18,manufacturing
833,8,business
834,30,disorder
835,17,major
836,3,Others
837,3,Others
838,95,major
839,117,health
840,3,Others
841,29,management
842,119,art
843,121,info
844,110,mba
845,9,biology
846,77,science
847,38,leadership
848,58,analysis
849,9,biology
850,85,history
851,3,Others
852,73,childhood
853,6,fashion
854,0,Others
855,46,international
856,12,music
857,2,environmental
858,111,natural
859,3,Others
860,57,exercise
861,3,Others
862,3,Others
863,78,study
864,3,Others
865,74,statistic
866,73,childhood
867,131,educ
868,87,computer
869,3,Others
870,24,Others
871,39,supply
872,90,Others
873,134,technology
874,134,technology
875,78,study
876,49,construction
877,50,engineering
878,115,mathematics
879,73,childhood
880,49,construction
881,103,communication
882,131,educ
883,47,medicine
884,74,statistic
885,85,history
886,147,admin
887,63,elementary
888,0,Others
889,77,science
890,117,health
891,129,educational
892,3,Others
893,31,cultural
894,43,physic
895,117,health
896,21,education
897,51,biochemistry
898,3,Others
899,118,family
900,131,educ
901,78,study
902,98,nutrition
903,93,Others
904,3,Others
905,65,social work
906,61,information
907,0,Others
908,75,administration
909,50,engineering
910,61,information
911,3,Others
912,10,chemistry
913,123,teaching
914,3,Others
915,3,Others
916,146,biol
917,3,Others
918,128,performance
919,135,english
920,53,nursing
921,81,mass
922,64,law
923,140,analytics
924,3,Others
925,65,social work
926,24,Others
927,87,computer
928,120,medium
929,100,development
930,26,graphic
931,1,social
932,25,learning
933,0,Others
934,71,Others
935,3,Others
936,133,special
937,111,natural
938,42,accountancy
939,20,ed
940,126,human
941,81,mass
942,20,ed
943,0,Others
944,126,human
945,121,info
946,148,marketing
947,106,Others
948,40,pre
949,58,analysis
950,125,molecular
951,96,design
952,39,supply
953,77,science
954,3,Others
955,38,leadership
956,71,Others
957,55,medical
958,119,art
959,56,master
960,25,learning
961,126,human
962,82,software
963,3,Others
964,21,education
965,50,engineering
966,80,television
967,21,education
968,20,ed
969,3,Others
970,33,information technology
971,3,Others
972,3,Others
973,62,spanish
974,9,biology
975,61,information
976,3,Others
977,3,Others
978,140,analytics
979,78,study
980,93,Others
981,75,administration
982,61,information
983,50,engineering
984,10,chemistry
985,19,film
986,107,adm
987,116,wildlife
988,3,Others
989,3,Others
990,3,Others
991,91,geography
992,55,medical
993,20,ed
994,35,journalism
995,77,science
996,97,sustainability
997,115,mathematics
998,76,comm
999,37,counseling
1000,3,Others
1001,9,biology
1002,54,electrical
1003,104,geology
1004,128,performance
1005,40,pre
1006,135,english
1007,16,Others
1008,23,Others
1009,115,mathematics
1010,28,psychology
1011,0,Others
1012,44,resource
1013,114,agricultural
1014,0,Others
1015,76,comm
1016,84,physical
1017,114,agricultural
1018,103,communication
1019,96,design
1020,62,spanish
1021,2,environmental
1022,28,psychology
1023,122,sport
1024,3,Others
1025,127,integrated
1026,29,management
1027,65,social work
1028,117,health
1029,74,statistic
1030,110,mba
1031,94,relation
1032,14,economics
1033,3,Others
1034,133,special
1035,87,computer
1036,76,comm
1037,132,professional
1038,6,fashion
1039,12,music
1040,73,childhood
1041,3,Others
1042,14,economics
1043,132,professional
1044,6,fashion
1045,113,industrial
1046,33,information technology
1047,73,childhood
1048,53,nursing
1049,3,Others
1050,33,information technology
1051,130,accounting
1052,21,education
1053,5,middle
1054,17,major
1055,2,environmental
1056,115,mathematics
1057,36,planning
1058,61,information
1059,37,counseling
1060,99,chemical
1061,5,middle
1062,3,Others
1063,3,Others
1064,130,accounting
1065,3,Others
1066,3,Others
1067,3,Others
1068,17,major
1069,138,care
1070,56,master
1071,50,engineering
1072,100,development
1073,73,childhood
1074,111,natural
1075,43,physic
1076,20,ed
1077,10,chemistry
1078,96,design
1079,111,natural
1080,61,information
1081,10,chemistry
1082,3,Others
1083,95,major
1084,52,mechanical
1085,134,technology
1086,62,spanish
1087,109,entrepreneurship
1088,10,chemistry
1089,78,study
1090,3,Others
1091,30,disorder
1092,29,management
1093,67,writing
1094,75,administration
1095,27,theatre
1096,70,finance
1097,2,environmental
1098,2,environmental
1099,64,law
1100,78,study
1101,3,Others
1102,84,physical
1103,41,public
1104,50,engineering
1105,52,mechanical
1106,77,science
1107,50,engineering
1108,110,mba
1109,127,integrated
1110,4,and
1111,50,engineering
1112,9,biology
1113,3,Others
1114,3,Others
1115,0,Others
1116,3,Others
1117,41,public
1118,40,pre
1119,99,chemical
1120,3,Others
1121,77,science
1122,3,Others
1123,19,film
1124,87,computer
1125,3,Others
1126,79,Others
1127,87,computer
1128,3,Others
1129,92,society
1130,123,teaching
1131,107,adm
1132,110,mba
1133,61,information
1134,11,combined
1135,120,medium
1136,30,disorder
1137,77,science
1138,51,biochemistry
1139,85,history
1140,93,Others
1141,116,wildlife
1142,2,environmental
1143,3,Others
1144,44,resource
1145,3,Others
1146,86,Others
1147,86,Others
1148,77,science
1149,119,art
1150,3,Others
1151,71,Others
1152,117,health
1153,119,art
1154,138,care
1155,45,anthropology
1156,3,Others
1157,77,science
1158,3,Others
1159,148,marketing
1160,74,statistic
1161,110,mba
1162,7,engr
1163,61,information
1164,54,electrical
1165,9,biology
1166,101,general
1167,101,general
1168,53,nursing
1169,21,education
1170,141,bus
1171,134,technology
1172,141,bus
1173,141,bus
1174,77,science
1175,132,professional
1176,38,leadership
1177,132,professional
1178,120,medium
1179,3,Others
1180,90,Others
1181,29,management
1182,119,art
1183,119,art
1184,133,special
1185,40,pre
1186,57,exercise
1187,54,electrical
1188,3,Others
1189,50,engineering
1190,26,graphic
1191,77,science
1192,3,Others
1193,98,nutrition
1194,59,undeclared
1195,147,admin
1196,67,writing
1197,3,Others
1198,141,bus
1199,30,disorder
1200,36,planning
1201,69,civil
1202,50,engineering
1203,3,Others
1204,3,Others
1205,61,information
1206,42,accountancy
1207,3,Others
1208,3,Others
1209,66,interdisciplinary
1210,77,science
1211,37,counseling
1212,117,health
1213,0,Others
1214,103,communication
1215,128,performance
1216,9,biology
1217,115,mathematics
1218,7,engr
1219,123,teaching
1220,141,bus
1221,57,exercise
1222,49,construction
1223,25,learning
1224,3,Others
1225,3,Others
1226,53,nursing
1227,110,mba
1228,117,health
1229,88,student
1230,49,construction
1231,13,computational
1232,63,elementary
1233,77,science
1234,135,english
1235,45,anthropology
1236,39,supply
1237,18,manufacturing
1238,3,Others
1239,14,economics
1240,135,english
1241,3,Others
1242,3,Others
1243,3,Others
1244,53,nursing
1245,123,teaching
1246,3,Others
1247,77,science
1248,143,architecture
1249,77,science
1250,26,graphic
1251,36,planning
1252,128,performance
1253,139,biomedical
1254,3,Others
1255,3,Others
1256,96,design
1257,125,molecular
1258,78,study
1259,119,art
1260,119,art
1261,83,philosophy
1262,117,health
1263,44,resource
1264,3,Others
1265,125,molecular
1266,140,analytics
1267,77,science
1268,2,environmental
1269,134,technology
1270,90,Others
1271,114,agricultural
1272,113,industrial
1273,102,policy
1274,5,middle
1275,3,Others
1276,77,science
1277,50,engineering
1278,131,educ
1279,119,art
1280,87,computer
1281,96,design
1282,106,Others
1283,8,business
1284,142,cert
1285,120,medium
1286,35,journalism
1287,78,study
1288,3,Others
1289,73,childhood
1290,61,information
1291,123,teaching
1292,20,ed
1293,101,general
1294,45,anthropology
1295,16,Others
1296,3,Others
1297,100,development
1298,119,art
1299,89,intended
1300,68,sociology
1301,3,Others
1302,78,study
1303,38,leadership
1304,21,education
1305,110,mba
1306,98,nutrition
1307,54,electrical
1308,32,child
1309,78,study
1310,57,exercise
1311,3,Others
1312,102,policy
1313,126,human
1314,54,electrical
1315,31,cultural
1316,76,comm
1317,39,supply
1318,91,geography
1319,29,management
1320,141,bus
1321,78,study
1322,120,medium
1323,134,technology
1324,21,education
1325,78,study
1326,3,Others
1327,3,Others
1328,3,Others
1329,3,Others
1330,3,Others
1331,37,counseling
1332,134,technology
1333,77,science
1334,3,Others
1335,29,management
1336,78,study
1337,36,planning
1338,5,middle
1339,0,Others
1340,3,Others
1341,114,agricultural
1342,2,environmental
1343,100,development
1344,78,study
1345,108,innovation
1346,78,study
1347,3,Others
1348,103,communication
1349,9,biology
1350,37,counseling
1351,3,Others
1352,32,child
1353,57,exercise
1354,148,marketing
1355,3,Others
1356,3,Others
1357,3,Others
1358,27,theatre
1359,147,admin
1360,69,civil
1361,1,social
1362,85,history
1363,61,information
1364,92,society
1365,125,molecular
1366,3,Others
1367,131,educ
1368,77,science
1369,100,development
1370,118,family
1371,35,journalism
1372,12,music
1373,47,medicine
1374,96,design
1375,59,undeclared
1376,106,Others
1377,41,public
1378,78,study
1379,122,sport
1380,12,music
1381,136,biological
1382,59,undeclared
1383,136,biological
1384,36,planning
1385,86,Others
1386,40,pre
1387,77,science
1388,75,administration
1389,38,leadership
1390,73,childhood
1391,84,physical
1392,77,science
1393,71,Others
1394,3,Others
1395,12,music
1396,29,management
1397,59,undeclared
1398,3,Others
1399,103,communication
1400,2,environmental
1401,50,engineering
1402,113,industrial
1403,22,emphasis
1404,12,music
1405,106,Others
1406,88,student
1407,3,Others
1408,93,Others
1409,134,technology
1410,74,statistic
1411,13,computational
1412,48,political
1413,44,resource
1414,50,engineering
1415,3,Others
1416,3,Others
1417,29,management
1418,73,childhood
1419,77,science
1420,118,family
1421,86,Others
1422,17,major
1423,61,information
1424,17,major
1425,37,counseling
1426,67,writing
1427,29,management
1428,57,exercise
1429,142,cert
1430,37,counseling
1431,114,agricultural
1432,108,innovation
1433,139,biomedical
1434,21,education
1435,93,Others
1436,138,care
1437,17,major
1438,28,psychology
1439,31,cultural
1440,136,biological
1441,78,study
1442,86,Others
1443,130,accounting
1444,2,environmental
1445,73,childhood
1446,4,and
1447,46,international
1448,3,Others
1449,71,Others
1450,95,major
1451,108,innovation
1452,72,Others
1453,3,Others
1454,78,study
1455,71,Others
1456,3,Others
1457,0,Others
1458,79,Others
1459,59,undeclared
1460,122,sport
1461,13,computational
1462,69,civil
1463,90,Others
1464,100,development
1465,2,environmental
1466,36,planning
1467,78,study
1468,139,biomedical
1469,75,administration
1470,129,educational
1471,3,Others
1472,3,Others
1473,84,physical
1474,7,engr
1475,129,educational
1476,90,Others
1477,29,management
1478,118,family
1479,115,mathematics
1480,3,Others
1481,119,art
1482,59,undeclared
1483,44,resource
1484,65,social work
1485,143,architecture
1486,139,biomedical
1487,87,computer
1488,3,Others
1489,44,resource
1490,75,administration
1491,138,care
1492,40,pre
1493,2,environmental
1494,24,Others
1495,102,policy
1496,128,performance
1497,23,Others
1498,103,communication
1499,86,Others
1500,53,nursing
1501,38,leadership
1502,63,elementary
1503,73,childhood
1504,3,Others
1505,3,Others
1506,4,and
1507,28,psychology
1508,139,biomedical
1509,120,medium
1510,77,science
1511,23,Others
1512,37,counseling
1513,10,chemistry
1514,29,management
1515,117,health
1516,118,family
1517,50,engineering
1518,8,business
1519,128,performance
1520,3,Others
1521,10,chemistry
1522,43,physic
1523,5,middle
1524,129,educational
1525,40,pre
1526,113,industrial
1527,19,film
1528,114,agricultural
1529,23,Others
1530,117,health
1531,21,education
1532,41,public
1533,135,english
1534,3,Others
1535,92,society
1536,3,Others
1537,103,communication
1538,9,biology
1539,17,major
1540,9,biology
1541,3,Others
1542,135,english
1543,95,major
1544,144,english writing
1545,51,biochemistry
1546,50,engineering
1547,1,social
1548,3,Others
1549,59,undeclared
1550,122,sport
1551,3,Others
1552,12,music
1553,72,Others
1554,119,art
1555,70,finance
1556,46,international
1557,74,statistic
1558,59,undeclared
1559,122,sport
1560,77,science
1561,68,sociology
1562,117,health
1563,136,biological
1564,84,physical
1565,23,Others
1566,0,Others
1567,135,english
1568,3,Others
1569,62,spanish
1570,102,policy
1571,71,Others
1572,117,health
1573,98,nutrition
1574,57,exercise
1575,120,medium
1576,75,administration
1577,2,environmental
1578,139,biomedical
1579,108,innovation
1580,21,education
1581,3,Others
1582,75,administration
1583,3,Others
1584,3,Others
1585,78,study
1586,3,Others
1587,23,Others
1588,53,nursing
1589,100,development
1590,53,nursing
1591,51,biochemistry
1592,45,anthropology
1593,37,counseling
1594,118,family
1595,3,Others
1596,78,study
1597,37,counseling
1598,95,major
1599,58,analysis
1600,29,management
1601,1,social
1602,43,physic
1603,34,art history
1604,118,family
1605,87,computer
1606,103,communication
1607,99,chemical
1608,138,care
1609,34,art history
1610,77,science
1611,9,biology
1612,87,computer
1613,3,Others
1614,79,Others
1615,9,biology
1616,85,history
1617,28,psychology
1618,3,Others
1619,128,performance
1620,62,spanish
1621,61,information
1622,86,Others
1623,53,nursing
1624,138,care
1625,53,nursing
1626,64,law
1627,56,master
1628,128,performance
1629,49,construction
1630,9,biology
1631,3,Others
1632,125,molecular
1633,41,public
1634,70,finance
1635,73,childhood
1636,87,computer
1637,24,Others
1638,119,art
1639,3,Others
1640,87,computer
1641,15,Others
1642,3,Others
1643,3,Others
1644,3,Others
1645,131,educ
1646,29,management
1647,3,Others
1648,29,management
1649,78,study
1650,68,sociology
1651,114,agricultural
1652,61,information
1653,23,Others
1654,77,science
1655,101,general
1656,10,chemistry
1657,3,Others
1658,55,medical
1659,127,integrated
1660,54,electrical
1661,24,Others
1662,119,art
1663,116,wildlife
1664,3,Others
1665,100,development
1666,95,major
1667,122,sport
1668,57,exercise
1669,126,human
1670,36,planning
1671,134,technology
1672,3,Others
1673,3,Others
1674,47,medicine
1675,70,finance
1676,95,major
1677,103,communication
1678,64,law
1679,136,biological
1680,37,counseling
1681,1,social
1682,77,science
1683,78,study
1684,23,Others
1685,28,psychology
1686,119,art
1687,73,childhood
1688,26,graphic
1689,12,music
1690,29,management
1691,8,business
1692,108,innovation
1693,53,nursing
1694,63,elementary
1695,70,finance
1696,65,social work
1697,75,administration
1698,131,educ
1699,3,Others
1700,77,science
1701,89,intended
1702,96,design
1703,135,english
1704,41,public
1705,33,information technology
1706,96,design
1707,29,management
1708,46,international
1709,70,finance
1710,122,sport
1711,117,health
1712,147,admin
1713,64,law
1714,46,international
1715,50,engineering
1716,127,integrated
1717,57,exercise
1718,46,international
1719,23,Others
1720,135,english
1721,80,television
1722,21,education
1723,50,engineering
1724,77,science
1725,87,computer
1726,29,management
1727,24,Others
1728,103,communication
1729,120,medium
1730,78,study
1731,88,student
1732,68,sociology
1733,23,Others
1734,21,education
1735,146,biol
1736,57,exercise
1737,64,law
1738,140,analytics
1739,43,physic
1740,59,undeclared
1741,117,health
1742,142,cert
1743,129,educational
1744,77,science
1745,3,Others
1746,9,biology
1747,3,Others
1748,3,Others
1749,148,marketing
1750,46,international
1751,121,info
1752,3,Others
1753,26,graphic
1754,21,education
1755,3,Others
1756,3,Others
1757,8,business
1758,136,biological
1759,6,fashion
1760,147,admin
1761,78,study
1762,119,art
1763,3,Others
1764,45,anthropology
1765,29,management
1766,3,Others
1767,43,physic
1768,50,engineering
1769,3,Others
1770,74,statistic
1771,66,interdisciplinary
1772,78,study
1773,47,medicine
1774,132,professional
1775,9,biology
1776,50,engineering
1777,5,middle
1778,46,international
1779,28,psychology
1780,120,medium
1781,3,Others
1782,40,pre
1783,3,Others
1784,127,integrated
1785,101,general
1786,0,Others
1787,144,english writing
1788,21,education
1789,28,psychology
1790,85,history
1791,40,pre
1792,40,pre
1793,109,entrepreneurship
1794,71,Others
1795,35,journalism
1796,131,educ
1797,84,physical
1798,28,psychology
1799,3,Others
1800,30,disorder
1801,35,journalism
1802,126,human
1803,3,Others
1804,44,resource
1805,19,film
1806,69,civil
1807,98,nutrition
1808,3,Others
1809,46,international
1810,138,care
1811,89,intended
1812,8,business
1813,50,engineering
1814,102,policy
1815,134,technology
1816,88,student
1817,87,computer
1818,120,medium
1819,92,society
1820,146,biol
1821,69,civil
1822,134,technology
1823,16,Others
1824,123,teaching
1825,9,biology
1826,41,public
1827,76,comm
1828,112,politics
1829,3,Others
1830,20,ed
1831,84,physical
1832,40,pre
1833,121,info
1834,115,mathematics
1835,21,education
1836,114,agricultural
1837,134,technology
1838,20,ed
1839,25,learning
1840,2,environmental
1841,108,innovation
1842,59,undeclared
1843,133,special
1844,3,Others
1845,87,computer
1846,12,music
1847,67,writing
1848,128,performance
1849,28,psychology
1850,56,master
1851,119,art
